gisaid_epi_isl	analysis_location	included_in_analysis	date
EPI_ISL_418118	unitedkingdom	yes	2020-03-13
EPI_ISL_418119	unitedkingdom	yes	2020-03-13
EPI_ISL_418120	unitedkingdom	yes	2020-03-13
EPI_ISL_418121	unitedkingdom	yes	2020-03-13
EPI_ISL_418122	unitedkingdom	yes	2020-03-13
EPI_ISL_418123	unitedkingdom	yes	2020-03-14
EPI_ISL_418124	unitedkingdom	yes	2020-03-14
EPI_ISL_418125	unitedkingdom	yes	2020-03-14
EPI_ISL_418126	unitedkingdom	yes	2020-03-15
EPI_ISL_418127	unitedkingdom	yes	2020-03-15
EPI_ISL_418128	unitedkingdom	yes	2020-03-15
EPI_ISL_418129	unitedkingdom	yes	2020-03-15
EPI_ISL_418130	unitedkingdom	yes	2020-03-15
EPI_ISL_418131	unitedkingdom	yes	2020-03-15
EPI_ISL_418132	unitedkingdom	yes	2020-03-15
EPI_ISL_418133	unitedkingdom	yes	2020-03-15
EPI_ISL_418134	unitedkingdom	yes	2020-03-15
EPI_ISL_418135	unitedkingdom	yes	2020-03-15
EPI_ISL_418136	unitedkingdom	yes	2020-03-15
EPI_ISL_418137	unitedkingdom	yes	2020-03-15
EPI_ISL_418138	unitedkingdom	yes	2020-03-15
EPI_ISL_418139	unitedkingdom	yes	2020-03-16
EPI_ISL_418140	unitedkingdom	yes	2020-03-15
EPI_ISL_418141	unitedkingdom	yes	2020-03-13
EPI_ISL_418142	unitedkingdom	yes	2020-03-14
EPI_ISL_418143	unitedkingdom	yes	2020-03-14
EPI_ISL_418144	unitedkingdom	yes	2020-03-14
EPI_ISL_418145	unitedkingdom	yes	2020-03-14
EPI_ISL_418146	unitedkingdom	yes	2020-03-14
EPI_ISL_418147	unitedkingdom	yes	2020-03-14
EPI_ISL_418148	unitedkingdom	yes	2020-03-16
EPI_ISL_418149	unitedkingdom	yes	2020-03-16
EPI_ISL_418150	unitedkingdom	yes	2020-03-16
EPI_ISL_418151	unitedkingdom	yes	2020-03-16
EPI_ISL_418152	unitedkingdom	yes	2020-03-15
EPI_ISL_418153	unitedkingdom	yes	2020-03-16
EPI_ISL_418154	unitedkingdom	yes	2020-03-16
EPI_ISL_418155	unitedkingdom	yes	2020-03-16
EPI_ISL_418156	unitedkingdom	yes	2020-03-16
EPI_ISL_418157	unitedkingdom	yes	2020-03-16
EPI_ISL_418158	unitedkingdom	yes	2020-03-16
EPI_ISL_418159	unitedkingdom	yes	2020-03-16
EPI_ISL_418160	unitedkingdom	yes	2020-03-16
EPI_ISL_418161	unitedkingdom	yes	2020-03-16
EPI_ISL_418162	unitedkingdom	yes	2020-03-16
EPI_ISL_418163	unitedkingdom	yes	2020-03-16
EPI_ISL_418164	unitedkingdom	yes	2020-03-17
EPI_ISL_418165	unitedkingdom	yes	2020-03-16
EPI_ISL_418779	washington	yes	2020-03-13
EPI_ISL_418780	washington	yes	2020-03-13
EPI_ISL_418781	washington	yes	2020-03-13
EPI_ISL_418782	washington	yes	2020-03-13
EPI_ISL_418783	washington	yes	2020-03-13
EPI_ISL_418784	washington	yes	2020-03-13
EPI_ISL_418785	washington	yes	2020-03-13
EPI_ISL_418786	washington	yes	2020-03-13
EPI_ISL_418771	washington	yes	2020-03-13
EPI_ISL_418787	washington	yes	2020-03-13
EPI_ISL_418788	washington	yes	2020-03-13
EPI_ISL_418789	washington	yes	2020-03-13
EPI_ISL_418790	washington	yes	2020-03-13
EPI_ISL_418791	washington	yes	2020-03-13
EPI_ISL_418772	washington	yes	2020-03-13
EPI_ISL_418773	washington	yes	2020-03-13
EPI_ISL_418774	washington	yes	2020-03-13
EPI_ISL_418775	washington	yes	2020-03-13
EPI_ISL_418776	washington	yes	2020-03-13
EPI_ISL_418777	washington	yes	2020-03-13
EPI_ISL_418778	washington	yes	2020-03-13
EPI_ISL_416465	washington	yes	2020-02-29
EPI_ISL_417153	washington	yes	2020-02-29
EPI_ISL_417154	washington	yes	2020-02-28
EPI_ISL_417155	washington	yes	2020-02-28
EPI_ISL_417156	washington	yes	2020-02-28
EPI_ISL_417157	washington	yes	2020-03-05
EPI_ISL_417158	washington	yes	2020-02-28
EPI_ISL_417159	washington	yes	2020-02-29
EPI_ISL_417160	washington	yes	2020-02-29
EPI_ISL_417161	washington	yes	2020-02-29
EPI_ISL_417162	washington	yes	2020-03-01
EPI_ISL_416466	washington	yes	2020-03-03
EPI_ISL_417163	washington	yes	2020-03-05
EPI_ISL_417164	washington	yes	2020-03-07
EPI_ISL_417165	washington	yes	2020-03-08
EPI_ISL_417166	washington	yes	2020-02-29
EPI_ISL_417167	washington	yes	2020-03-05
EPI_ISL_417168	washington	yes	2020-02-29
EPI_ISL_417169	washington	yes	2020-03-02
EPI_ISL_417170	washington	yes	2020-03-02
EPI_ISL_417171	washington	yes	2020-03-01
EPI_ISL_417172	washington	yes	2020-02-29
EPI_ISL_417065	washington	yes	2020-03-03
EPI_ISL_417173	washington	yes	2020-03-01
EPI_ISL_417174	washington	yes	2020-03-01
EPI_ISL_417175	washington	yes	2020-03-02
EPI_ISL_417066	washington	yes	2020-03-03
EPI_ISL_417067	washington	yes	2020-03-03
EPI_ISL_417068	washington	yes	2020-03-02
EPI_ISL_417069	washington	yes	2020-03-03
EPI_ISL_417070	washington	yes	2020-03-03
EPI_ISL_417071	washington	yes	2020-03-03
EPI_ISL_417072	washington	yes	2020-03-02
EPI_ISL_413456	washington	yes	2020-02-20
EPI_ISL_417073	washington	yes	2020-03-02
EPI_ISL_417074	washington	yes	2020-03-02
EPI_ISL_417075	washington	yes	2020-03-02
EPI_ISL_417076	washington	yes	2020-03-02
EPI_ISL_417077	washington	yes	2020-03-02
EPI_ISL_417078	washington	yes	2020-03-02
EPI_ISL_417079	washington	yes	2020-03-02
EPI_ISL_417080	washington	yes	2020-03-01
EPI_ISL_417081	washington	yes	2020-03-02
EPI_ISL_417082	washington	yes	2020-03-02
EPI_ISL_413560	washington	yes	2020-02-28
EPI_ISL_417083	washington	yes	2020-02-28
EPI_ISL_417084	washington	yes	2020-03-02
EPI_ISL_417085	washington	yes	2020-03-02
EPI_ISL_417086	washington	yes	2020-03-01
EPI_ISL_417087	washington	yes	2020-03-02
EPI_ISL_417088	washington	yes	2020-03-02
EPI_ISL_417089	washington	yes	2020-03-02
EPI_ISL_417090	washington	yes	2020-03-04
EPI_ISL_417091	washington	yes	2020-03-04
EPI_ISL_417092	washington	yes	2020-03-04
EPI_ISL_417093	washington	yes	2020-02-28
EPI_ISL_417094	washington	yes	2020-02-28
EPI_ISL_417095	washington	yes	2020-02-28
EPI_ISL_417096	washington	yes	2020-02-27
EPI_ISL_417097	washington	yes	2020-02-28
EPI_ISL_417098	washington	yes	2020-02-29
EPI_ISL_417099	washington	yes	2020-02-29
EPI_ISL_417100	washington	yes	2020-02-29
EPI_ISL_417101	washington	yes	2020-02-29
EPI_ISL_417102	washington	yes	2020-03-04
EPI_ISL_416460	washington	yes	2020-02-29
EPI_ISL_417103	washington	yes	2020-03-05
EPI_ISL_417104	washington	yes	2020-03-03
EPI_ISL_417105	washington	yes	2020-03-03
EPI_ISL_417106	washington	yes	2020-03-03
EPI_ISL_417107	washington	yes	2020-03-05
EPI_ISL_417108	washington	yes	2020-02-29
EPI_ISL_417109	washington	yes	2020-03-05
EPI_ISL_417110	washington	yes	2020-03-03
EPI_ISL_417111	washington	yes	2020-03-05
EPI_ISL_417112	washington	yes	2020-03-02
EPI_ISL_416461	washington	yes	2020-02-29
EPI_ISL_417113	washington	yes	2020-03-02
EPI_ISL_417114	washington	yes	2020-03-05
EPI_ISL_417115	washington	yes	2020-03-03
EPI_ISL_417116	washington	yes	2020-03-04
EPI_ISL_417117	washington	yes	2020-03-03
EPI_ISL_417118	washington	yes	2020-03-03
EPI_ISL_417119	washington	yes	2020-03-06
EPI_ISL_417120	washington	yes	2020-03-04
EPI_ISL_417121	washington	yes	2020-03-04
EPI_ISL_417122	washington	yes	2020-03-05
EPI_ISL_416462	washington	yes	2020-02-24
EPI_ISL_417123	washington	yes	2020-03-05
EPI_ISL_417124	washington	yes	2020-03-05
EPI_ISL_417125	washington	yes	2020-03-06
EPI_ISL_417126	washington	yes	2020-03-05
EPI_ISL_417127	washington	yes	2020-03-05
EPI_ISL_417128	washington	yes	2020-03-05
EPI_ISL_417129	washington	yes	2020-03-05
EPI_ISL_417130	washington	yes	2020-03-05
EPI_ISL_417131	washington	yes	2020-03-05
EPI_ISL_417132	washington	yes	2020-03-05
EPI_ISL_416463	washington	yes	2020-02-24
EPI_ISL_417133	washington	yes	2020-03-05
EPI_ISL_417134	washington	yes	2020-02-26
EPI_ISL_417135	washington	yes	2020-02-22
EPI_ISL_417136	washington	yes	2020-03-05
EPI_ISL_417137	washington	yes	2020-02-21
EPI_ISL_417138	washington	yes	2020-03-05
EPI_ISL_417139	washington	yes	2020-03-01
EPI_ISL_417140	washington	yes	2020-03-01
EPI_ISL_417141	washington	yes	2020-03-01
EPI_ISL_417142	washington	yes	2020-02-29
EPI_ISL_417143	washington	yes	2020-02-29
EPI_ISL_417144	washington	yes	2020-03-02
EPI_ISL_417145	washington	yes	2020-02-29
EPI_ISL_417146	washington	yes	2020-02-29
EPI_ISL_417147	washington	yes	2020-02-28
EPI_ISL_417148	washington	yes	2020-02-28
EPI_ISL_417149	washington	yes	2020-02-28
EPI_ISL_417150	washington	yes	2020-02-28
EPI_ISL_417151	washington	yes	2020-02-29
EPI_ISL_417152	washington	yes	2020-02-28
EPI_ISL_416638	washington	yes	2020-03-12
EPI_ISL_416639	washington	yes	2020-03-10
EPI_ISL_416640	washington	yes	2020-03-11
EPI_ISL_416641	washington	yes	2020-03-11
EPI_ISL_416642	washington	yes	2020-03-11
EPI_ISL_416643	washington	yes	2020-03-11
EPI_ISL_416644	washington	yes	2020-03-11
EPI_ISL_416645	washington	yes	2020-03-11
EPI_ISL_416646	washington	yes	2020-03-11
EPI_ISL_416647	washington	yes	2020-03-11
EPI_ISL_416648	washington	yes	2020-03-11
EPI_ISL_416649	washington	yes	2020-03-11
EPI_ISL_416650	washington	yes	2020-03-10
EPI_ISL_416651	washington	yes	2020-03-11
EPI_ISL_416652	washington	yes	2020-03-11
EPI_ISL_416653	washington	yes	2020-03-11
EPI_ISL_416654	washington	yes	2020-03-11
EPI_ISL_416655	washington	yes	2020-03-11
EPI_ISL_416656	washington	yes	2020-03-11
EPI_ISL_416658	washington	yes	2020-03-11
EPI_ISL_416659	washington	yes	2020-03-11
EPI_ISL_416660	washington	yes	2020-03-10
EPI_ISL_416661	washington	yes	2020-03-12
EPI_ISL_416662	washington	yes	2020-03-12
EPI_ISL_416663	washington	yes	2020-03-12
EPI_ISL_416664	washington	yes	2020-03-12
EPI_ISL_416665	washington	yes	2020-03-12
EPI_ISL_416666	washington	yes	2020-03-12
EPI_ISL_416667	washington	yes	2020-03-12
EPI_ISL_416668	washington	yes	2020-03-11
EPI_ISL_416669	washington	yes	2020-03-11
EPI_ISL_416670	washington	yes	2020-03-12
EPI_ISL_416671	washington	yes	2020-03-12
EPI_ISL_416672	washington	yes	2020-03-10
EPI_ISL_416673	washington	yes	2020-03-11
EPI_ISL_416674	washington	yes	2020-03-11
EPI_ISL_416676	washington	yes	2020-03-11
EPI_ISL_416677	washington	yes	2020-03-12
EPI_ISL_416678	washington	yes	2020-03-11
EPI_ISL_416679	washington	yes	2020-03-11
EPI_ISL_416680	washington	yes	2020-03-11
EPI_ISL_416681	washington	yes	2020-03-11
EPI_ISL_416682	washington	yes	2020-03-09
EPI_ISL_416683	washington	yes	2020-03-15
EPI_ISL_416684	washington	yes	2020-03-14
EPI_ISL_416685	washington	yes	2020-03-15
EPI_ISL_416686	washington	yes	2020-03-14
EPI_ISL_416687	washington	yes	2020-03-14
EPI_ISL_414363	washington	yes	2020-03-04
EPI_ISL_416688	washington	yes	2020-03-14
EPI_ISL_416689	washington	yes	2020-03-14
EPI_ISL_416690	washington	yes	2020-03-13
EPI_ISL_416691	washington	yes	2020-03-13
EPI_ISL_416692	washington	yes	2020-03-14
EPI_ISL_416693	washington	yes	2020-03-12
EPI_ISL_416694	washington	yes	2020-03-13
EPI_ISL_416695	washington	yes	2020-03-13
EPI_ISL_416696	washington	yes	2020-03-13
EPI_ISL_416697	washington	yes	2020-03-13
EPI_ISL_414364	washington	yes	2020-03-05
EPI_ISL_416698	washington	yes	2020-03-13
EPI_ISL_416699	washington	yes	2020-03-13
EPI_ISL_416700	washington	yes	2020-03-13
EPI_ISL_416701	washington	yes	2020-03-13
EPI_ISL_416702	washington	yes	2020-03-13
EPI_ISL_416703	washington	yes	2020-03-13
EPI_ISL_416704	washington	yes	2020-03-15
EPI_ISL_416705	washington	yes	2020-03-13
EPI_ISL_416706	washington	yes	2020-03-13
EPI_ISL_416707	washington	yes	2020-03-14
EPI_ISL_414365	washington	yes	2020-03-06
EPI_ISL_416708	washington	yes	2020-03-14
EPI_ISL_416709	washington	yes	2020-03-13
EPI_ISL_416710	washington	yes	2020-03-13
EPI_ISL_416711	washington	yes	2020-03-15
EPI_ISL_416712	washington	yes	2020-03-14
EPI_ISL_416713	washington	yes	2020-03-15
EPI_ISL_416714	washington	yes	2020-03-14
EPI_ISL_416715	washington	yes	2020-03-15
EPI_ISL_416716	washington	yes	2020-03-13
EPI_ISL_416717	washington	yes	2020-03-15
EPI_ISL_414366	washington	yes	2020-03-05
EPI_ISL_416718	washington	yes	2020-03-14
EPI_ISL_416719	washington	yes	2020-03-14
EPI_ISL_416720	washington	yes	2020-03-13
EPI_ISL_416721	washington	yes	2020-03-13
EPI_ISL_416722	washington	yes	2020-03-12
EPI_ISL_416723	washington	yes	2020-03-14
EPI_ISL_416724	washington	yes	2020-03-13
EPI_ISL_416725	washington	yes	2020-03-13
EPI_ISL_416726	washington	yes	2020-03-13
EPI_ISL_416727	washington	yes	2020-03-13
EPI_ISL_414367	washington	yes	2020-03-05
EPI_ISL_416728	washington	yes	2020-03-13
EPI_ISL_416729	washington	yes	2020-03-13
EPI_ISL_417341	washington	yes	2020-03-13
EPI_ISL_417342	washington	yes	2020-03-13
EPI_ISL_417343	washington	yes	2020-03-13
EPI_ISL_417344	washington	yes	2020-03-13
EPI_ISL_417345	washington	yes	2020-03-13
EPI_ISL_417346	washington	yes	2020-03-12
EPI_ISL_417347	washington	yes	2020-03-12
EPI_ISL_417348	washington	yes	2020-03-13
EPI_ISL_414368	washington	yes	2020-03-05
EPI_ISL_417349	washington	yes	2020-03-12
EPI_ISL_417350	washington	yes	2020-03-12
EPI_ISL_417351	washington	yes	2020-03-12
EPI_ISL_417352	washington	yes	2020-03-12
EPI_ISL_417353	washington	yes	2020-03-13
EPI_ISL_417354	washington	yes	2020-03-13
EPI_ISL_417355	washington	yes	2020-03-13
EPI_ISL_417356	washington	yes	2020-03-13
EPI_ISL_417357	washington	yes	2020-03-13
EPI_ISL_417358	washington	yes	2020-03-13
EPI_ISL_414369	washington	yes	2020-03-05
EPI_ISL_417359	washington	yes	2020-03-14
EPI_ISL_417360	washington	yes	2020-03-14
EPI_ISL_417361	washington	yes	2020-03-14
EPI_ISL_417362	washington	yes	2020-03-13
EPI_ISL_417363	washington	yes	2020-03-14
EPI_ISL_417364	washington	yes	2020-03-12
EPI_ISL_417365	washington	yes	2020-03-14
EPI_ISL_417366	washington	yes	2020-03-14
EPI_ISL_417367	washington	yes	2020-03-13
EPI_ISL_414591	washington	yes	2020-03-06
EPI_ISL_417369	washington	yes	2020-03-14
EPI_ISL_417370	washington	yes	2020-03-14
EPI_ISL_417371	washington	yes	2020-03-13
EPI_ISL_417372	washington	yes	2020-03-13
EPI_ISL_417373	washington	yes	2020-03-13
EPI_ISL_417374	washington	yes	2020-03-15
EPI_ISL_417375	washington	yes	2020-03-15
EPI_ISL_417376	washington	yes	2020-03-15
EPI_ISL_417377	washington	yes	2020-03-15
EPI_ISL_417378	washington	yes	2020-03-14
EPI_ISL_414592	washington	yes	2020-03-06
EPI_ISL_417379	washington	yes	2020-03-15
EPI_ISL_417380	washington	yes	2020-03-14
EPI_ISL_417381	washington	yes	2020-03-14
EPI_ISL_417382	washington	yes	2020-03-15
EPI_ISL_417448	washington	yes	2020-03-14
EPI_ISL_417449	washington	yes	2020-03-14
EPI_ISL_417450	washington	yes	2020-03-14
EPI_ISL_417451	washington	yes	2020-03-14
EPI_ISL_417452	washington	yes	2020-03-14
EPI_ISL_417453	washington	yes	2020-03-14
EPI_ISL_414593	washington	yes	2020-03-05
EPI_ISL_417454	washington	yes	2020-03-14
EPI_ISL_417455	washington	yes	2020-03-14
EPI_ISL_417456	washington	yes	2020-03-14
EPI_ISL_418028	washington	yes	2020-03-13
EPI_ISL_418029	washington	yes	2020-03-16
EPI_ISL_418030	washington	yes	2020-03-16
EPI_ISL_418031	washington	yes	2020-03-16
EPI_ISL_418032	washington	yes	2020-03-16
EPI_ISL_418033	washington	yes	2020-03-16
EPI_ISL_418034	washington	yes	2020-03-16
EPI_ISL_414594	washington	yes	2020-03-05
EPI_ISL_418035	washington	yes	2020-03-14
EPI_ISL_418036	washington	yes	2020-03-13
EPI_ISL_418037	washington	yes	2020-03-16
EPI_ISL_418038	washington	yes	2020-03-15
EPI_ISL_418039	washington	yes	2020-03-13
EPI_ISL_418040	washington	yes	2020-03-16
EPI_ISL_418041	washington	yes	2020-03-14
EPI_ISL_418042	washington	yes	2020-03-13
EPI_ISL_418043	washington	yes	2020-03-14
EPI_ISL_418044	washington	yes	2020-03-14
EPI_ISL_414595	washington	yes	2020-03-05
EPI_ISL_418045	washington	yes	2020-03-14
EPI_ISL_418046	washington	yes	2020-03-16
EPI_ISL_418047	washington	yes	2020-03-16
EPI_ISL_418048	washington	yes	2020-03-16
EPI_ISL_418049	washington	yes	2020-03-13
EPI_ISL_418050	washington	yes	2020-03-16
EPI_ISL_418051	washington	yes	2020-03-13
EPI_ISL_418052	washington	yes	2020-03-16
EPI_ISL_418053	washington	yes	2020-03-16
EPI_ISL_418054	washington	yes	2020-03-16
EPI_ISL_414596	washington	yes	2020-03-04
EPI_ISL_418055	washington	yes	2020-03-14
EPI_ISL_418056	washington	yes	2020-03-13
EPI_ISL_418057	washington	yes	2020-03-13
EPI_ISL_418058	washington	yes	2020-03-13
EPI_ISL_418062	washington	yes	2020-03-14
EPI_ISL_418063	washington	yes	2020-03-16
EPI_ISL_418064	washington	yes	2020-03-15
EPI_ISL_414597	washington	yes	2020-03-04
EPI_ISL_418065	washington	yes	2020-03-13
EPI_ISL_418066	washington	yes	2020-03-14
EPI_ISL_418067	washington	yes	2020-03-15
EPI_ISL_418068	washington	yes	2020-03-14
EPI_ISL_418069	washington	yes	2020-03-14
EPI_ISL_418070	washington	yes	2020-03-14
EPI_ISL_418071	washington	yes	2020-03-15
EPI_ISL_418072	washington	yes	2020-03-15
EPI_ISL_418073	washington	yes	2020-03-15
EPI_ISL_418074	washington	yes	2020-03-15
EPI_ISL_414616	washington	yes	2020-03-08
EPI_ISL_418075	washington	yes	2020-03-15
EPI_ISL_418076	washington	yes	2020-03-15
EPI_ISL_418077	washington	yes	2020-03-15
EPI_ISL_418078	washington	yes	2020-03-15
EPI_ISL_418079	washington	yes	2020-03-15
EPI_ISL_418080	washington	yes	2020-03-15
EPI_ISL_418081	washington	yes	2020-03-15
EPI_ISL_418082	washington	yes	2020-03-15
EPI_ISL_418866	washington	yes	2020-03-23
EPI_ISL_418867	washington	yes	2020-03-23
EPI_ISL_414617	washington	yes	2020-03-08
EPI_ISL_418868	washington	yes	2020-03-24
EPI_ISL_418869	washington	yes	2020-03-23
EPI_ISL_418870	washington	yes	2020-03-23
EPI_ISL_418871	washington	yes	2020-03-22
EPI_ISL_418872	washington	yes	2020-03-23
EPI_ISL_418873	washington	yes	2020-03-23
EPI_ISL_418875	washington	yes	2020-03-24
EPI_ISL_418876	washington	yes	2020-03-24
EPI_ISL_418877	washington	yes	2020-03-24
EPI_ISL_414618	washington	yes	2020-03-08
EPI_ISL_418878	washington	yes	2020-03-24
EPI_ISL_418879	washington	yes	2020-03-23
EPI_ISL_418880	washington	yes	2020-03-22
EPI_ISL_418881	washington	yes	2020-03-24
EPI_ISL_418882	washington	yes	2020-03-22
EPI_ISL_418883	washington	yes	2020-03-24
EPI_ISL_418884	washington	yes	2020-03-24
EPI_ISL_418885	washington	yes	2020-03-24
EPI_ISL_418886	washington	yes	2020-03-24
EPI_ISL_414619	washington	yes	2020-03-07
EPI_ISL_418887	washington	yes	2020-03-23
EPI_ISL_418888	washington	yes	2020-03-23
EPI_ISL_418889	washington	yes	2020-03-23
EPI_ISL_418890	washington	yes	2020-03-20
EPI_ISL_418891	washington	yes	2020-03-24
EPI_ISL_418892	washington	yes	2020-03-21
EPI_ISL_418893	washington	yes	2020-03-21
EPI_ISL_418894	washington	yes	2020-03-22
EPI_ISL_418895	washington	yes	2020-03-24
EPI_ISL_418896	washington	yes	2020-03-22
EPI_ISL_414620	washington	yes	2020-03-08
EPI_ISL_418897	washington	yes	2020-03-24
EPI_ISL_418898	washington	yes	2020-03-24
EPI_ISL_418899	washington	yes	2020-03-22
EPI_ISL_418900	washington	yes	2020-03-24
EPI_ISL_418901	washington	yes	2020-03-24
EPI_ISL_418902	washington	yes	2020-03-24
EPI_ISL_418903	washington	yes	2020-03-21
EPI_ISL_418904	washington	yes	2020-03-24
EPI_ISL_418905	washington	yes	2020-03-24
EPI_ISL_418906	washington	yes	2020-03-20
EPI_ISL_414621	washington	yes	2020-03-08
EPI_ISL_418907	washington	yes	2020-03-20
EPI_ISL_418908	washington	yes	2020-03-24
EPI_ISL_418909	washington	yes	2020-03-24
EPI_ISL_418910	washington	yes	2020-03-23
EPI_ISL_418911	washington	yes	2020-03-24
EPI_ISL_418912	washington	yes	2020-03-24
EPI_ISL_418913	washington	yes	2020-03-24
EPI_ISL_418914	washington	yes	2020-03-24
EPI_ISL_418915	washington	yes	2020-03-24
EPI_ISL_418916	washington	yes	2020-03-24
EPI_ISL_414622	washington	yes	2020-03-08
EPI_ISL_418917	washington	yes	2020-03-24
EPI_ISL_418918	washington	yes	2020-03-24
EPI_ISL_418919	washington	yes	2020-03-24
EPI_ISL_418920	washington	yes	2020-03-24
EPI_ISL_418921	washington	yes	2020-03-24
EPI_ISL_418922	washington	yes	2020-03-24
EPI_ISL_418923	washington	yes	2020-03-24
EPI_ISL_418924	washington	yes	2020-03-24
EPI_ISL_418926	washington	yes	2020-03-24
EPI_ISL_416453	washington	yes	2020-03-07
EPI_ISL_418927	washington	yes	2020-03-24
EPI_ISL_418928	washington	yes	2020-03-24
EPI_ISL_418929	washington	yes	2020-03-24
EPI_ISL_418930	washington	yes	2020-03-24
EPI_ISL_418931	washington	yes	2020-03-20
EPI_ISL_418932	washington	yes	2020-03-24
EPI_ISL_418933	washington	yes	2020-03-24
EPI_ISL_418934	washington	yes	2020-03-14
EPI_ISL_418935	washington	yes	2020-03-24
EPI_ISL_418936	washington	yes	2020-03-24
EPI_ISL_416454	washington	yes	2020-03-06
EPI_ISL_418937	washington	yes	2020-03-24
EPI_ISL_418938	washington	yes	2020-03-24
EPI_ISL_418939	washington	yes	2020-03-24
EPI_ISL_418940	washington	yes	2020-03-24
EPI_ISL_418942	washington	yes	2020-03-24
EPI_ISL_418943	washington	yes	2020-03-24
EPI_ISL_418944	washington	yes	2020-03-24
EPI_ISL_418945	washington	yes	2020-03-23
EPI_ISL_416455	washington	yes	2020-03-07
EPI_ISL_418946	washington	yes	2020-03-24
EPI_ISL_418947	washington	yes	2020-03-22
EPI_ISL_418948	washington	yes	2020-03-23
EPI_ISL_418949	washington	yes	2020-03-23
EPI_ISL_418950	washington	yes	2020-03-23
EPI_ISL_418951	washington	yes	2020-03-23
EPI_ISL_418952	washington	yes	2020-03-23
EPI_ISL_418953	washington	yes	2020-03-23
EPI_ISL_418954	washington	yes	2020-03-23
EPI_ISL_416456	washington	yes	2020-03-06
EPI_ISL_418955	washington	yes	2020-03-23
EPI_ISL_415605	washington	yes	2020-03-05
EPI_ISL_415606	washington	yes	2020-03-08
EPI_ISL_415607	washington	yes	2020-03-09
EPI_ISL_415608	washington	yes	2020-03-08
EPI_ISL_415609	washington	yes	2020-03-08
EPI_ISL_415610	washington	yes	2020-03-08
EPI_ISL_415611	washington	yes	2020-03-09
EPI_ISL_415612	washington	yes	2020-03-09
EPI_ISL_415613	washington	yes	2020-03-09
EPI_ISL_415614	washington	yes	2020-03-09
EPI_ISL_415615	washington	yes	2020-03-08
EPI_ISL_415616	washington	yes	2020-03-08
EPI_ISL_415617	washington	yes	2020-03-09
EPI_ISL_415619	washington	yes	2020-03-09
EPI_ISL_415620	washington	yes	2020-03-09
EPI_ISL_415621	washington	yes	2020-03-09
EPI_ISL_415622	washington	yes	2020-03-09
EPI_ISL_415623	washington	yes	2020-03-09
EPI_ISL_415624	washington	yes	2020-03-09
EPI_ISL_415625	washington	yes	2020-03-09
EPI_ISL_415626	washington	yes	2020-03-10
EPI_ISL_415627	washington	yes	2020-03-09
EPI_ISL_415591	washington	yes	2020-03-10
EPI_ISL_415592	washington	yes	2020-03-09
EPI_ISL_415594	washington	yes	2020-03-10
EPI_ISL_415595	washington	yes	2020-03-09
EPI_ISL_415596	washington	yes	2020-03-09
EPI_ISL_415597	washington	yes	2020-03-10
EPI_ISL_415598	washington	yes	2020-03-10
EPI_ISL_415599	washington	yes	2020-03-09
EPI_ISL_415600	washington	yes	2020-03-09
EPI_ISL_415601	washington	yes	2020-03-10
EPI_ISL_415602	washington	yes	2020-03-10
EPI_ISL_415603	washington	yes	2020-03-10
EPI_ISL_415604	washington	yes	2020-03-10
EPI_ISL_416433	washington	yes	2020-03-10
EPI_ISL_416434	washington	yes	2020-03-10
EPI_ISL_416435	washington	yes	2020-03-10
EPI_ISL_416436	washington	yes	2020-03-10
EPI_ISL_416437	washington	yes	2020-03-10
EPI_ISL_416438	washington	yes	2020-03-10
EPI_ISL_416439	washington	yes	2020-03-10
EPI_ISL_416440	washington	yes	2020-03-10
EPI_ISL_416441	washington	yes	2020-03-10
EPI_ISL_416442	washington	yes	2020-03-10
EPI_ISL_416443	washington	yes	2020-03-10
EPI_ISL_416444	washington	yes	2020-03-10
EPI_ISL_416445	washington	yes	2020-03-10
EPI_ISL_416446	washington	yes	2020-03-10
EPI_ISL_416447	washington	yes	2020-03-10
EPI_ISL_416448	washington	yes	2020-03-11
EPI_ISL_416449	washington	yes	2020-03-11
EPI_ISL_416450	washington	yes	2020-03-11
EPI_ISL_416451	washington	yes	2020-03-10
EPI_ISL_416452	washington	yes	2020-03-10
EPI_ISL_416635	washington	yes	2020-03-12
EPI_ISL_416636	washington	yes	2020-03-12
EPI_ISL_416637	washington	yes	2020-03-12
EPI_ISL_407214	washington	yes	2020-01-25
EPI_ISL_407215	washington	yes	2020-01-25
EPI_ISL_413562	washington	yes	2020-03-02
EPI_ISL_413563	washington	yes	2020-03-03
EPI_ISL_413601	washington	yes	2020-03-02
EPI_ISL_413649	washington	yes	2020-03-05
EPI_ISL_413650	washington	yes	2020-03-05
EPI_ISL_413651	washington	yes	2020-03-05
EPI_ISL_413652	washington	yes	2020-03-05
EPI_ISL_413653	washington	yes	2020-03-05
EPI_ISL_412970	washington	yes	2020-02-24
EPI_ISL_413455	washington	yes	2020-02-28
EPI_ISL_413457	washington	yes	2020-02-29
EPI_ISL_413458	washington	yes	2020-03-01
EPI_ISL_413486	washington	yes	2020-03-01
EPI_ISL_413487	washington	yes	2020-03-01
